vehicle_slug,vehicle_name,wiki_image_url,wiki_url,checked_at,status,error
cn_zsl_92,ZSL92,https://static.encyclopedia.warthunder.com/images/cn_zsl_92.png,https://wiki.warthunder.com/unit/cn_zsl_92,2026-07-02T18:32:53.781489+00:00,ok,
cn_ztl_11,ZLT11,https://static.encyclopedia.warthunder.com/images/cn_ztl_11.png,https://wiki.warthunder.com/unit/cn_ztl_11,2026-07-02T18:32:56.375587+00:00,ok,
cn_zts_63_1980,ZTS63,https://static.encyclopedia.warthunder.com/images/cn_zts_63_1980.png,https://wiki.warthunder.com/unit/cn_zts_63_1980,2026-07-02T18:32:58.584153+00:00,ok,
cn_ztz_59a,ZTZ59A,https://static.encyclopedia.warthunder.com/images/cn_ztz_59a.png,https://wiki.warthunder.com/unit/cn_ztz_59a,2026-07-02T18:33:00.858340+00:00,ok,
cn_ztz_88a,ZTZ88A,https://static.encyclopedia.warthunder.com/images/cn_ztz_88a.png,https://wiki.warthunder.com/unit/cn_ztz_88a,2026-07-02T18:33:03.437459+00:00,ok,
cn_ztz_88b,ZTZ88B,https://static.encyclopedia.warthunder.com/images/cn_ztz_88b.png,https://wiki.warthunder.com/unit/cn_ztz_88b,2026-07-02T18:33:06.117650+00:00,ok,
cn_ztz_96,ZTZ96,https://static.encyclopedia.warthunder.com/images/cn_ztz_96.png,https://wiki.warthunder.com/unit/cn_ztz_96,2026-07-02T18:33:08.470645+00:00,ok,
cn_ztz_96a,ZTZ96A,https://static.encyclopedia.warthunder.com/images/cn_ztz_96a.png,https://wiki.warthunder.com/unit/cn_ztz_96a,2026-07-02T18:33:10.828349+00:00,ok,
cn_ztz_96a_prot,ZTZ96A (P),https://static.encyclopedia.warthunder.com/images/cn_ztz_96a_prot.png,https://wiki.warthunder.com/unit/cn_ztz_96a_prot,2026-07-02T18:33:13.311421+00:00,ok,
cn_ztz_96b,ZTZ96B,https://static.encyclopedia.warthunder.com/images/cn_ztz_96b.png,https://wiki.warthunder.com/unit/cn_ztz_96b,2026-07-02T18:33:15.865884+00:00,ok,
cn_ztz_99,ZTZ99-II,https://static.encyclopedia.warthunder.com/images/cn_ztz_99.png,https://wiki.warthunder.com/unit/cn_ztz_99,2026-07-02T18:33:18.059686+00:00,ok,
cn_ztz_99_w,ZTZ99-III,https://static.encyclopedia.warthunder.com/images/cn_ztz_99_w.png,https://wiki.warthunder.com/unit/cn_ztz_99_w,2026-07-02T18:33:20.574096+00:00,ok,
cn_ztz_99a,ZTZ99A,https://static.encyclopedia.warthunder.com/images/cn_ztz_99a.png,https://wiki.warthunder.com/unit/cn_ztz_99a,2026-07-02T18:33:23.200211+00:00,ok,
